_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
3,"[0.5464168190956116, -0.0978488177061081, 0.030565092340111732]","[-0.08843058347702026, 0.24585258960723877, -0.9210293292999268, 0.44133830070495605]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5668574571609497, -0.08505222201347351, 0.04183785989880562, 0.07999709993600845, 0.5464168190956116, -0.0978488177061081, 0.030565092340111732, 0.08841649442911148, -0.0706145390868187, 0.04755977541208267]]","[0.32284602522850037, -0.026497885584831238, -0.0043584853410720825, 0.1590428203344345, -0.11212468147277832, -0.09889443218708038]","[1, 1]",34.176082659,-0.12945972383022308,0,3,1745668882.0733669,3
4,"[0.5439679026603699, -0.08729925751686096, 0.031499460339546204]","[0.09600424766540527, 0.9180350303649902, 0.5121572017669678, -0.5593307018280029]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5712152719497681, -0.03933298960328102, 0.0667250007390976, 0.07000132650136948, 0.5439679026603699, -0.08729925751686096, 0.031499460339546204, 0.07637476921081543, -0.06374535709619522, -0.024591051042079926]]","[0.16043373942375183, 0.05120593309402466, 0.3288707137107849, 0.2134324461221695, -0.407635360956192, -0.3412593603134155]","[1, 1]",37.780844167,-0.12105773389339447,0,4,1745668885.7613332,4
5,"[0.5447597503662109, -0.05882032960653305, 0.031698279082775116]","[0.09600424766540527, 0.9180350303649902, 0.5121572017669678, -0.5593307018280029]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.599716067314148, 0.019695045426487923, 0.059792410582304, 0.07940807193517685, 0.5447597503662109, -0.05882032960653305, 0.031698279082775116, 0.09111320227384567, -0.07001500576734543, 0.04764586687088013]]","[0.14968262612819672, 0.04457487165927887, 0.3014258146286011, 0.1438339650630951, -0.4187536835670471, -0.296352744102478]","[1, 1]",48.452358774,-0.09626533091068268,0,5,1745668889.3660452,5
6,"[0.5447008609771729, -0.058935169130563736, 0.032152555882930756]","[-0.7242075204849243, -0.20633405447006226, -0.8530343770980835, 0.14970433712005615]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6017425060272217, -0.009699488058686256, 0.1543944776058197, 0.03008321300148964, 0.5447008609771729, -0.058935169130563736, 0.032152555882930756, 0.09007929265499115, -0.06801372021436691, 0.047491077333688736]]","[0.19423863291740417, 0.16301585733890533, 0.08454515039920807, 0.12205404043197632, 0.17535175383090973, 0.1130148321390152]","[1, 1]",53.700019451,-0.09640222787857056,1,6,1745668900.037588,0
7,"[0.5448284149169922, -0.0585712268948555, 0.03290919214487076]","[-0.5117102861404419, -0.7118020057678223, -0.9588133096694946, 0.7737064361572266]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5761257410049438, -0.04502760246396065, 0.1064496785402298, 0.0799938216805458, 0.5448284149169922, -0.0585712268948555, 0.03290919214487076, 0.08671680092811584, -0.06587620824575424, 0.04712308943271637]]","[0.0893368273973465, 0.20792610943317413, -0.08131366223096848, -0.02093450166285038, 0.07051628082990646, -0.004853731021285057]","[1, 1]",57.280549447,-0.09605105221271515,1,7,1745668905.2852342,1
8,"[0.5449389219284058, -0.05803268402814865, 0.031053602695465088]","[-0.252590537071228, -0.5163573026657104, -0.9719146490097046, 0.6392635107040405]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5635450482368469, -0.0706505998969078, 0.057935964316129684, 0.0799957886338234, 0.5449389219284058, -0.05803268402814865, 0.031053602695465088, 0.08909972012042999, -0.06878320872783661, 0.04535369947552681]]","[0.09714962542057037, 0.1407318264245987, -0.05348880589008331, 0.009905366227030754, 0.05606513470411301, -0.017093831673264503]","[1, 1]",63.371754955,-0.09550880640745163,1,8,1745668908.865766,2
9,"[0.543945848941803, -0.061574794352054596, 0.030445551499724388]","[0.654289960861206, 0.8410263061523438, 0.426098108291626, -0.625550389289856]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5959444046020508, -0.028816184028983116, 0.07898474484682083, 9.652999870013446e-05, 0.543945848941803, -0.061574794352054596, 0.030445551499724388, 0.09387481957674026, -0.07563567161560059, 0.057009752839803696]]","[0.11376120895147324, 0.08341391384601593, 0.3481517434120178, 0.10475189238786697, -0.3189789056777954, -0.38943570852279663]","[1, 1]",69.23598733,-0.09897834807634354,1,9,1745668914.9569674,3
10,"[0.5444734692573547, -0.05905136466026306, 0.031613051891326904]","[-0.7825044393539429, -0.577088475227356, -0.5414727330207825, 0.6299842596054077]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5567672252655029, -0.05745336040854454, 0.05180282145738602, 0.07999447733163834, 0.5444734692573547, -0.05905136466026306, 0.031613051891326904, 0.08963704109191895, -0.0681496113538742, 0.047526586800813675]]","[-0.06702590733766556, -0.0076240599155426025, 0.06516502797603607, 0.07850871980190277, 0.1474686861038208, 0.11270852386951447]","[1, 1]",74.079557533,-0.09661737084388733,1,10,1745668920.8212104,4
11,"[0.5434181690216064, -0.06203722581267357, 0.030057042837142944]","[0.71598219871521, 0.9055392742156982, 0.41890716552734375, -0.717810869216919]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5922805070877075, -0.012368039228022099, 0.07258298248052597, 0.070001982152462, 0.5434181690216064, -0.06203722581267357, 0.030057042837142944, 0.09180574119091034, -0.07711281627416611, 0.05949889495968819]]","[-0.05500877648591995, 0.030606627464294434, 0.18752163648605347, 0.043069399893283844, -0.4759477972984314, 0.20898808538913727]","[1, 1]",76.892838955,-0.09965748339891434,1,11,1745668925.6647906,5
12,"[0.5452662110328674, -0.04959762841463089, 0.031632620841264725]","[0.71598219871521, 0.9055392742156982, 0.41890716552734375, -0.717810869216919]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5996056795120239, 0.019734201952815056, 0.0597391314804554, 0.07952693104743958, 0.5452662110328674, -0.04959762841463089, 0.031632620841264725, 0.08318940550088882, -0.06990804523229599, 0.03521222248673439]]","[0.1502486765384674, -0.028101608157157898, 0.1818820834159851, -0.10909458249807358, -0.48930054903030396, -0.18518902361392975]","[1, 1]",76.895473879,-0.08855666220188141,1,12,1745668928.4780717,6
