test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps,pca
"[[-0.05506987124681473, -0.0370447114109993, 0.02635466307401657]]",275,"[0.9117653965950012, -0.16151005029678345, 0.029977377504110336]","[-0.4101051092147827, -0.9077875018119812, 0.5270220041275024, 0.4181857109069824]",False,"[0.692615807056427, -0.20834705233573914, 0.029999999329447746]","[[0.5811816453933716, -0.3632976710796356, 0.12707380950450897, 0.0794682577252388, 0.9117653965950012, -0.16151005029678345, 0.029977377504110336, 4.131336754653603e-05, -0.0004206578014418483, 0.20065884292125702]]","[-0.16307957470417023, -2.1467573642730713, 2.819413185119629, 5.716021537780762, 1.0903546810150146, 0.29485154151916504]","[[-0.0013865884393453598, -0.005037091672420502, 0.004294430837035179]]","[0, 30]",2.441236286,-0.22409872710704803,11.0,275.0,1748233134.6089568,38.0,
"[[-0.0372430682182312, -0.01313598733395338, -0.042496081441640854]]",291,"[0.48527318239212036, 0.03083266317844391, 0.029989998787641525]","[-0.744861364364624, -0.2627197504043579, -0.8499215841293335, 0.5832704305648804]",False,"[0.4337100088596344, -0.09008302539587021, 0.029999999329447746]","[[0.4818069040775299, 0.02940855361521244, 0.05386112630367279, 0.07999177277088165, 0.48527318239212036, 0.03083266317844391, 0.029989998787641525, -9.930601230223601e-09, 3.2170583975448224e-16, 9.556998204970912e-14]]","[0.1253059357404709, 0.004401907324790955, 0.026178468018770218, -0.01811232417821884, -0.016251273453235626, -0.032095253467559814]","[[-0.007157355546951294, -0.002200842835009098, -0.002871718257665634]]","[0, 30]",2.485023464,-0.13145099580287933,12.0,291.0,1748233134.6367462,4.0,
"[[-0.08159301429986954, 0.028043698519468307, 0.002685698913410306]]",300,"[0.52496737241745, -0.08774790912866592, 0.029999999329447746]","[-0.39191555976867676, -0.9525244235992432, 0.056548476219177246, -0.7471966743469238]",True,"[0.6289671063423157, -0.25378620624542236, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.52496737241745, -0.08774790912866592, 0.029999999329447746, 0, 0, 0]]","[-0.25904038548469543, 0.3469464182853699, 0.1891758292913437, -0.03774029016494751, -0.13081395626068115, 0.20617514848709106]","[[-0.1896054446697235, -0.07506195455789566, -0.17266486585140228]]","[0, 30]",2.485342685,-0.04813724756240845,12.0,300.0,1748233134.6582386,13.0,
"[[0.03326582536101341, 0.006029075942933559, -0.01282010693103075]]",310,"[0.7258720993995667, 0.19865578413009644, 0.02998996712267399]","[0.8604882955551147, 0.2850402593612671, -0.25639843940734863, -0.6459687948226929]",False,"[0.42506641149520874, 0.011229957453906536, 0.029999999329447746]","[[0.7247558236122131, 0.18662455677986145, 0.021970480680465698, 0.054317180067300797, 0.7258720993995667, 0.19865578413009644, 0.02998996712267399, -3.079546218032192e-07, 3.800834349476645e-07, 0.018056686967611313]]","[0.03794387727975845, 0.24440045654773712, 0.07539927959442139, 0.025114841759204865, 0.11724521219730377, 0.03938087821006775]","[[0.02380448207259178, 0.006606585346162319, -0.011970027349889278]]","[0, 30]",2.532824315,-0.35441854596138,13.0,310.0,1748233134.6810706,9.0,
"[[0.010908136144280434, 0.011757031083106995, 0.010482028126716614]]",334,"[0.5215440392494202, -0.07718874514102936, 0.02993195317685604]","[-0.07231217622756958, 0.86311936378479, 0.20892977714538574, -0.8279116749763489]",False,"[0.42506641149520874, 0.011229957453906536, 0.029999999329447746]","[[0.531475841999054, -0.06508393585681915, 0.0227022934705019, 0.05351988226175308, 0.5215440392494202, -0.07718874514102936, 0.02993195317685604, 0.0002048077149083838, -0.0021363396663218737, 0.001953227212652564]]","[-0.11568208783864975, -1.3771347999572754, 2.6464719772338867, 3.558884382247925, 0.18106189370155334, 0.5068933367729187]","[[0.010065266862511635, 0.01189260184764862, 0.010192643851041794]]","[0, 30]",2.57716613,-0.13086560368537903,13.0,334.0,1748233134.7502964,33.0,
"[[0.04717329889535904, -0.04606121778488159, 0.03904074430465698]]",343,"[0.44853463768959045, 0.09244096279144287, 0.02998572215437889]","[0.6849558353424072, -0.959619402885437, 0.7642722129821777, 0.032588958740234375]",False,"[0.42506641149520874, 0.011229957453906536, 0.029999999329447746]","[[0.45024192333221436, 0.0023268049117177725, 0.06341968476772308, 0.011971201747655869, 0.44853463768959045, 0.09244096279144287, 0.02998572215437889, -1.3280061466502957e-05, -0.00012919162691105157, 0.16879303753376007]]","[-0.1276387721300125, -2.9159483909606934, 2.797555446624756, 7.776951789855957, 2.0165603160858154, 0.09705241024494171]","[[0.014143116772174835, -0.013481013476848602, 0.01907314360141754]]","[0, 30]",2.621053534,-0.0845339298248291,13.0,343.0,1748233134.7731228,42.0,
"[[-0.04240609332919121, -0.04354177042841911, -0.04316962510347366]]",360,"[0.5242713689804077, 0.06963979452848434, 0.029989883303642273]","[-0.7866301536560059, -0.8053272366523743, -0.8633947372436523, 0.40389716625213623]",False,"[0.5543246269226074, -0.056507084518671036, 0.029999999329447746]","[[0.5409807562828064, 0.05723432078957558, 0.03947700560092926, 0.07902603596448898, 0.5242713689804077, 0.06963979452848434, 0.029989883303642273, -4.164862275501946e-06, -1.5083262638881934e-08, -0.1555054634809494]]","[0.03812398761510849, 0.2443751096725464, 0.07367810606956482, 0.02612975612282753, 0.11666574329137802, 0.03950970619916916]","[[-0.041051339358091354, -0.034570902585983276, -0.049231477081775665]]","[0, 30]",2.6217153189999998,-0.129677414894104,14.0,360.0,1748233134.8050485,9.0,
"[[0.03755078464746475, 0.04842236265540123, -0.033442094922065735]]",380,"[0.7778390049934387, -0.20280955731868744, 0.02998993545770645]","[0.9996862411499023, 0.9898428916931152, -0.6688340902328491, 0.5316927433013916]",False,"[0.6205007433891296, 0.260190486907959, 0.029999999329447746]","[[0.7619685530662537, -0.18922752141952515, 0.022716891020536423, 0.07993923127651215, 0.7778390049934387, -0.20280955731868744, 0.02998993545770645, 6.370101459651778e-07, -1.0391343039373169e-06, -0.26232534646987915]]","[-0.3091135025024414, 0.346586674451828, 0.3588786721229553, -0.16108328104019165, -0.3450264632701874, 0.29120010137557983]","[[0.039851583540439606, 0.047132279723882675, -0.033483799546957016]]","[0, 30]",2.6665156530000003,-0.489003449678421,15.0,380.0,1748233134.8476794,14.0,
"[[0.042885709553956985, 0.006779827177524567, -0.04810120165348053]]",389,"[0.8238469362258911, 0.02035902999341488, 0.029983293265104294]","[0.8612868785858154, 0.8600877523422241, -0.9619115591049194, -0.7858624458312988]",False,"[0.6205007433891296, 0.260190486907959, 0.029999999329447746]","[[0.8042289018630981, 0.03310411050915718, 0.022009558975696564, 0.051835235208272934, 0.8238469362258911, 0.02035902999341488, 0.029983293265104294, 0.0005983214941807091, -0.000550407508853823, -0.06901810318231583]]","[0.061946846544742584, -0.21038341522216797, 1.5904169082641602, 0.9306307435035706, -0.6632596850395203, 0.5475327968597412]","[[0.04335932806134224, 0.0077900998294353485, -0.048070941120386124]]","[0, 30]",2.68374568,-0.31443411111831665,15.0,389.0,1748233134.8708673,23.0,
"[[0.044585347175598145, 0.0005554184317588806, -0.04850718379020691]]",390,"[0.8222843408584595, 0.05613413453102112, 0.02998916618525982]","[0.8604550361633301, 0.7266104221343994, -0.9700261354446411, -0.8267331123352051]",False,"[0.6205007433891296, 0.260190486907959, 0.029999999329447746]","[[0.8025782704353333, 0.06469351053237915, 0.02199850231409073, 0.05192476511001587, 0.8222843408584595, 0.05613413453102112, 0.02998916618525982, 0.0018376146908849478, -0.0018134493147954345, -0.05249585583806038]]","[0.15001364052295685, -0.30652478337287903, 1.6978328227996826, 1.2921005487442017, -0.4676491916179657, 0.5324745178222656]","[[0.044673383235931396, 0.004741121083498001, -0.0484902523458004]]","[0, 30]",2.686221435,-0.28697669506073,15.0,390.0,1748233134.8734887,24.0,
