test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
"[[0.004054039716720581, -0.043510790914297104, -0.012499733828008175]]",626,"[0.5536457896232605, 0.0888904258608818, 0.02998974174261093]","[0.12359678745269775, -0.946636974811554, -0.2501335144042969, -0.5074416399002075]",False,"[0.4114021360874176, 0.05417943000793457, 0.029999999329447746]","[[0.555350661277771, 0.07251816987991333, 0.02249128185212612, 0.05009770393371582, 0.5536457896232605, 0.0888904258608818, 0.02998974174261093, -7.519391147070564e-06, 3.907849531969987e-06, 0.043599218130111694]]","[-0.24380327761173248, 0.34681010246276855, 0.1972547471523285, -0.038926027715206146, -0.14035192131996155, 0.20602351427078247]","[[0.001747041940689087, -0.04291662201285362, -0.012010251171886921]]","[0, 30]",3.631907887,-0.14641758799552917,18,626,1748251621.2004125,13
"[[-0.026808390393853188, -0.03785396367311478, -0.035096801817417145]]",627,"[0.5558227896690369, 0.07823531329631805, 0.030149558559060097]","[-0.4926277995109558, -0.9701815247535706, -0.6987396478652954, -0.8836323022842407]",False,"[0.4114021360874176, 0.05417943000793457, 0.029999999329447746]","[[0.5580693483352661, 0.0613921582698822, 0.02281038463115692, 0.050373390316963196, 0.5558227896690369, 0.07823531329631805, 0.030149558559060097, 0.005341323558241129, -1.2872512343164999e-05, 0.031500931829214096]]","[-0.2681577503681183, 0.35020339488983154, 0.27281126379966736, -0.11636018007993698, -0.4040217697620392, 0.30802255868911743]","[[-0.027350077405571938, -0.0373830646276474, -0.03525608777999878]]","[0, 30]",3.631940599,-0.1464104950428009,18,627,1748251621.2031043,14
"[[0.03847768157720566, 0.03105568140745163, 0.035198356956243515]]",637,"[0.44324904680252075, -0.048622068017721176, 0.029926542192697525]","[0.4855858087539673, 0.9293792247772217, 0.7028961181640625, -0.4288296699523926]",False,"[0.4114021360874176, 0.05417943000793457, 0.029999999329447746]","[[0.4425541162490845, -0.0346616730093956, 0.024982428178191185, 0.05129994451999664, 0.44324904680252075, -0.048622068017721176, 0.029926542192697525, -0.002112697111442685, 1.454449943594227e-06, -0.05285564064979553]]","[-0.18528695404529572, -0.5429606437683105, 1.3893201351165771, 1.9461970329284668, -0.5883108377456665, 0.4686984419822693]","[[0.03835376352071762, 0.03346158564090729, 0.03474749997258186]]","[0, 30]",3.675599703,-0.1076214611530304,18,637,1748251621.2305095,24
"[[-0.07068120688199997, -0.012199081480503082, 0.03736526146531105]]",675,"[0.6010815501213074, -0.03809281438589096, 0.029999999329447746]","[0.7311583757400513, -0.9534056782722473, 0.7474563121795654, -0.9033757448196411]",True,"[0.5724255442619324, -0.1502084881067276, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.6010815501213074, -0.03809281438589096, 0.029999999329447746, 0, 0, 0]]","[-0.17494042217731476, -1.568833351135254, 2.702850818634033, 4.102516174316406, 0.273164302110672, 0.4725158214569092]","[[-0.09121327847242355, -0.06763944774866104, -0.13714641332626343]]","[0, 30]",3.772236931,-0.04978948459029198,19,675,1748251621.327105,34
"[[0.027444172650575638, 0.013635840266942978, 0.008630651980638504]]",689,"[0.46900272369384766, 0.08361037820577621, 0.029989803209900856]","[0.7455793619155884, 0.5554304122924805, 0.17261266708374023, -0.7744425535202026]",False,"[0.6655293703079224, 0.19052986800670624, 0.029999999329447746]","[[0.4641357958316803, 0.09802326560020447, 0.030986031517386436, 0.050975650548934937, 0.46900272369384766, 0.08361037820577621, 0.029989803209900856, 6.075335932109738e-06, -1.2688658443948952e-06, 0.010094708763062954]]","[-0.2641986012458801, 0.3401351273059845, 0.2525225877761841, -0.07360386103391647, -0.11036186665296555, 0.20230668783187866]","[[0.023890871554613113, 0.009893748909235, 0.009545629844069481]]","[0, 30]",3.819467719,-0.22372862696647644,20,689,1748251621.3584528,13
"[[-0.0009627521503716707, -0.003368822857737541, 0.023707641288638115]]",713,"[0.43862417340278625, -0.0940636545419693, 0.02996997907757759]","[0.0748833417892456, 0.5067561864852905, 0.4740877151489258, -0.3771533966064453]",False,"[0.6371352076530457, 0.07559087127447128, 0.029999999329447746]","[[0.42638787627220154, -0.09258981794118881, 0.0303683802485466, 0.05614301934838295, 0.43862417340278625, -0.0940636545419693, 0.02996997907757759, -0.00043194135650992393, -0.00023515337670687586, -0.07614816725254059]]","[-0.03972182422876358, 0.27743279933929443, 0.09501029551029205, 0.030131831765174866, 0.1280565857887268, 0.06399552524089813]","[[0.007893425412476063, 0.004228511825203896, 0.01854349486529827]]","[0, 30]",3.8637002110000003,-0.26113077998161316,21,713,1748251621.413534,10
"[[-0.036189496517181396, 0.054052602499723434, -0.024370381608605385]]",753,"[0.4963071644306183, -0.03184864670038223, 0.03071293793618679]","[-0.9437054395675659, 0.849205493927002, -0.48990392684936523, -0.7847862839698792]",False,"[0.40416356921195984, 0.10141156613826752, 0.029999999329447746]","[[0.5058400630950928, -0.0150284543633461, 0.02325548604130745, 0.048954736441373825, 0.4963071644306183, -0.03184864670038223, 0.03071293793618679, -0.024421749636530876, -2.090071029670071e-05, -0.0934147909283638]]","[-0.08826615661382675, 0.04484154284000397, 1.2081689834594727, 0.3274974822998047, -0.8214685916900635, 0.5694555640220642]","[[-0.03598901629447937, 0.053721196949481964, -0.024346044287085533]]","[0, 30]",3.951493433,-0.1620161533355713,22,753,1748251621.5084436,20
"[[-0.022194769233465195, 0.03554941713809967, -0.0056745088659226894]]",756,"[0.4380055367946625, -0.021439572796225548, 0.029803330078721046]","[-0.9356104731559753, 0.9328558444976807, -0.12093698978424072, -0.8267795443534851]",False,"[0.40416356921195984, 0.10141156613826752, 0.029999999329447746]","[[0.44389912486076355, -0.006842352449893951, 0.022382542490959167, 0.05129030719399452, 0.4380055367946625, -0.021439572796225548, 0.029803330078721046, 0.00044981049722991884, -0.005760193336755037, -0.07878176122903824]]","[0.025710204616189003, -0.24117353558540344, 1.6139005422592163, 1.0123116970062256, -0.666130006313324, 0.5503526329994202]","[[-0.018846925348043442, 0.03569050133228302, -0.0055721416138112545]]","[0, 30]",3.951571269,-0.12742730975151062,22,756,1748251621.516647,23
"[[0.0219282153993845, -0.012853316962718964, -0.03196056932210922]]",781,"[0.5209464430809021, 0.10237687081098557, 0.029989903792738914]","[0.44803428649902344, -0.2596038579940796, -0.6392131447792053, 0.3099029064178467]",False,"[0.44253191351890564, -0.2717428207397461, 0.029999999329447746]","[[0.5394370555877686, 0.09122579544782639, 0.022177744656801224, 0.07699717581272125, 0.5209464430809021, 0.10237687081098557, 0.029989903792738914, -2.2497160898637958e-06, 1.526628921055817e-06, 0.04167130962014198]]","[0.10265088081359863, 0.20464596152305603, 0.06783103942871094, 0.013055432587862015, 0.09763588011264801, 0.017349831759929657]","[[0.0003917459398508072, -0.011652380228042603, -0.026182793080806732]]","[0, 30]",3.995818079,-0.382249116897583,24,781,1748251621.5688818,8
"[[-0.043543364852666855, 0.013830289244651794, -0.04899820685386658]]",797,"[0.6141546964645386, -0.23795033991336823, 0.029977144673466682]","[-0.9475486874580383, 0.5571043491363525, -0.9812372922897339, -0.952800989151001]",False,"[0.44253191351890564, -0.2717428207397461, 0.029999999329447746]","[[0.6058810949325562, -0.22221995890140533, 0.02434438280761242, 0.05186361446976662, 0.6141546964645386, -0.23795033991336823, 0.029977144673466682, 0.0004154556372668594, 1.076758053386584e-05, -0.15139640867710114]]","[0.026876607909798622, -0.3932438790798187, 1.7288987636566162, 1.5288935899734497, -0.716248631477356, 0.5773779153823853]","[[-0.03957715258002281, 0.017650187015533447, -0.04904951900243759]]","[0, 30]",4.06754656,-0.1749180108308792,24,797,1748251621.6093168,24
"[[-0.029012851417064667, 0.003797188401222229, -0.04930901899933815]]",798,"[0.6061786413192749, -0.22188162803649902, 0.029983723536133766]","[-0.7397781014442444, 0.3973180055618286, -0.9860488176345825, -0.9385108947753906]",False,"[0.44253191351890564, -0.2717428207397461, 0.029999999329447746]","[[0.591775119304657, -0.2112729698419571, 0.02256813459098339, 0.050648853182792664, 0.6061786413192749, -0.22188162803649902, 0.029983723536133766, -3.616941512518679e-06, -0.00020539516117423773, 0.0229256059974432]]","[0.0756780281662941, -0.5171098113059998, 1.8034056425094604, 1.7401237487792969, -0.5745946168899536, 0.5838432312011719]","[[-0.02288293093442917, 0.008918911218643188, -0.04752619192004204]]","[0, 30]",4.067638153,-0.17107422649860382,24,798,1748251621.6118743,25
